from_addr,knn_id,cluster_size
EQD_M8Q1iGBeiWjVtFhrMFkNs4Eya2txoWiu88yypJDfpj_W,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQDq8i8Lo0x-TzxQ71tNsptDItUQhDk2d9NBYzSjA9FE4gni,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQD3I0SxooudIJ01Z6zvk7P3vei9KqjgJBiL-SOGDBncwGix,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQC-TyoR_Lpit21I--4gwpIuIY24t8Fw9W02YK44GU3DziOD,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQDxQWP6InP_HcFbC1GFv7VaEFXNQf0lXDbNzAJdk-E8mFFc,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQD9Y9aHh620HshnOkBHkKCWUerVCgAQCQ1Nl2V6b7FAvdHb,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQDzN_J6AcjO0cZXLrK3mZJsYodgJP9UU82ywMzXcWca1Hm3,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQCQbnlKZ9LP2HVVKt_pSpSO97yfkTmNkWHFW2JP0NNfMY5o,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQCBPLauHuU0NgsY5zCEcYe7VNgYi0zwmCm-SUBQx3w6K8im,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQDGykHSqfrByoLTx62wM9vhc585ZkLX7TIxtqHCRBafXZ4k,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQDvDq80u3Y4KWGNv6UTVj887QyZfS-eKTFfDJfvJ184iGN9,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQDeOGVYE4hO_JScgdjEc1X8YW5CzvKREnIzbUFA7Uehbmz7,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
