from_address,to_address,msg_hash,comment_tx,amount,name,cluster_id,cluster_size
EQCHxpctAhDw_lIj0RkI6XLIgKU_Dy8TMEkf-jG5AS9aWmjY,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb,5GSQomesv++S6nB4lqPPpQDHZsHPwRuwHb/OrALjYP0=,106627960.0,14825.0,Binance,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb_106627960.0,38
EQB37Su4a5jphxA1SV2Ty8iiy8e8dcPitLUgUQNKchTuLrz8,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb,9tJ1RH6zLbkUvkgE9IpHlvyMaQGqOKM5Ne6sbGVT33A=,106627960.0,26857.0,Binance,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb_106627960.0,38
EQAopya54msPfC8sBSuSuWFfyxj9s0YR0KReM9dcIeh-4N20,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb,+R9cCayMZj4KkYzuRJM+mUt4LdTOGcKIY88+WbIDkog=,106627960.0,14741.0,Binance,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb_106627960.0,38
EQATfXBM4CSmfOj52s8f7D5mqR75pfgtp5SyBY2qQoWmcF4L,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb,Riow/28oagrSHz5gpfCmSTN7V+nKqiwUNjGu7QCz4mM=,106627960.0,14821.0,Binance,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb_106627960.0,38
EQCL9VvXg7VZ8QlcsQRnD7roMVdGbJekDytsiKP-Rbq-b2bW,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb,iZmqX4ebTRsV/msbro8mVI4YGpWFTmJX498kNK7IrHE=,106627960.0,15295.0,Binance,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb_106627960.0,38
EQBiMYtxvgz_AgxcCCPVFeZEZ7vSRh-2MNwOPHX3OzzvRUA1,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb,nd8zBMQtXaEkXE7NR5YhvuRduGBjsAI4lgS1rBVw6ag=,106627960.0,14817.0,Binance,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb_106627960.0,38
EQAYJD1p1iDop2yEBXue6c2fpDtqpHbJjRBRNBX4pQhZc2CW,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb,L2SIeQaUQXUV930mruAoJDyMuj7t5uBcQD6vaoRiuho=,106627960.0,14818.0,Binance,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb_106627960.0,38
EQCZs588qG6Hdl_1uvCzVhDiGYKtKEmM-_g-mIaKpJf_HhIj,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb,dyAXl54C/Z/8Tw6dyFdTpzmoMAsV8rtB4wWancSWdtQ=,106627960.0,26249.0,Binance,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb_106627960.0,38
EQAFnEKXIxsFvk0jjt38yeBZ5N15NtU54_kVCIUX62Zh8u0Y,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb,BfyBSGFmOJe/QBDwDO0LXyCKgrgobXFX3p2KpBVxZNk=,106627960.0,15149.0,Binance,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb_106627960.0,38
EQC4xvmyIrYe3m3uwBFHQB4lAPhDoPDE68ELJAV0BKQYKmzk,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb,lBoT4pYknBGsOLuWgVggnUQLJTVR5yjg6EF4unCHsnE=,106627960.0,26697.0,Binance,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb_106627960.0,38
EQD3YtK8WyoqirOkLRbbehWAFpUODZ0u0MRuUfJn4Ehetuz-,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb,ybjngM6NsKv6LAZUYLiqR1lHtN+IHYCkL7QORT9GPh0=,106627960.0,15088.0,Binance,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb_106627960.0,38
EQClJePeZuD29lAZuKhE52GyCaxlqllshuVmcXt8bHNBpRy_,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb,zAhoU6seyi6vB0DPrsRZsSnTFpdXf+4p9tSst0YIUqg=,106627960.0,26484.0,Binance,EQD5mxRgCuRNLxKxeOjG6r14iSroLF5FtomPnet-sgP5xNJb_106627960.0,38
EQDmylNd76Wcw_indmw9GkW9XMP2I-77QDAXxSpXZWBh_s-a,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb,1aRBpbVm9WRh26QxhZpBW92zXTPohQ1yZtJl91CHSRA=,10449775.0,5641.0,Bybit 1,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb_10449775.0,35
EQAb3WWKb_7TnABwq_KvWqYeVziNGTuuWJTmOnl8LSWCsD6S,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb,TqdzqNuoDEaPn41YnVaoNaQlA4M9fp1gPxW7olSo3Pk=,10449775.0,5853.0,Bybit 1,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb_10449775.0,35
EQD-72Wmp4p6xAdJjOgR5zRnBSsv265kjBhudH7DQ9ZER_xg,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb,Eon8Fj0ezP0T67Tb8ltOaOO65cXpI9ZkMzjarZuDKpQ=,10449775.0,5459.0,Bybit 1,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb_10449775.0,35
EQCQ986moNloM_0TeemTp8dD0vSMZxulSax_2OLP3padqrjL,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb,JvrJbZpkiBD218Pd+qozmaPSOXpnVTh/treyu3g1sQ4=,10449775.0,7290.0,Bybit 1,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb_10449775.0,35
EQCEVlbVyNBQj6lsFuWgJN8eOgiLB3O9bW-7ior9eSdeZpGK,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb,UYWWomnBq7kCrHkIRY+MCo4+xm+tJ15RngSF3l24Vho=,10449775.0,6163.0,Bybit 1,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb_10449775.0,35
EQAXNwyXREVR0PClPHU2LllYFJNiYl9ge4uYAlrrWOiHa4uJ,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb,7eF7vfHZw7TRgTV2OP4HNhXj1Q3A9AAUPmfRJGVBUy0=,10449775.0,5511.0,Bybit 1,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb_10449775.0,35
EQApsX3ggR_MJEbwV1ogs_etHS3S1yvQ9c6XgfINYgthzb6m,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb,lW4PcFbqZjALbTgcATwHsA/cKQnJ+jZYROh8BVQzsmI=,10449775.0,2121.0,Bybit 1,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb_10449775.0,35
EQD12pIAxZ1Zoy-ZiQDkF4IzNsMubnCD9D9B0M-JPfKsqiO4,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb,f5Jxy1TmAmp3L9CLK6by3+7MuUmm27VSsnsVFdTQHBI=,10449775.0,2062.0,Bybit 1,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb_10449775.0,35
EQAkSb6NqeKV9d30TaAAg2JabMgBlncw_MavavK_9y5HJ28m,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb,AHGDRNO0SPytY4ji6O9v9oiEYh91rP6VdYgH9liLQLI=,10449775.0,8034.0,Bybit 1,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb_10449775.0,35
EQCjUyKYGVOk2euG4fl8kpQ1OC9XDG2pIKpD61BSUhl_qywh,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb,no17sSTuBCXqsvrCdSXv1sAdbNmrv8NyuLHmwoe9S1I=,10449775.0,6703.0,Bybit 1,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb_10449775.0,35
EQAc-a4TDseSXWSi05Btc0BDiaskTcNvLKEpF6f-W33SsRt7,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb,4Au4O74+tr7n1VIy0pEwA0Y0stL1kXoUi3zDqebnP6o=,10449775.0,7053.0,Bybit 1,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb_10449775.0,35
EQCzNROByw1Zzaolr95Itcs6vkjzTe__c3yUE-LmMyRd6R5s,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb,sPMEWXB0GPfaIyiWOsRGIS01DZKoHF8nt0w8oFF6DRA=,10449775.0,5701.0,Bybit 1,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb_10449775.0,35
EQAhL9CTfLkUlwfxoxcURyMEN-zXFKvThr-JpQINGmFfL7wF,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb,/nX5OWtxJgmVa6mpPHHrNUV9OkBpn51NTaPowRa9mxk=,10449775.0,5597.0,Bybit 1,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb_10449775.0,35
EQCX0xs4lT-aCr7jVq0-_auRI8xTBCnod6z7lECIfJCTerSS,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb,ZWKyubU0a0ixA6gaOBQlKBDsz/sBaMoVlXWlX/NVCys=,10449775.0,7408.0,Bybit 1,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb_10449775.0,35
EQCav4ciTcxfDW4fIOw5iU1hg9blvAH9lud_zS8xWVgs1TCA,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb,rvKqwadOT+/seqJZbNcDzUygT0cgVsd4TTKzUkrJzZ0=,10449775.0,7243.0,Bybit 1,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb_10449775.0,35
EQBWQqXCV8nP-TM5NqdP4J0MSNkhhXq41zMz662MgJ5JwZzl,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb,GkBr96mYJCpli1+Ab2WncPKANZoZP0QifHJrFZx8I7I=,10449775.0,6164.0,Bybit 1,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb_10449775.0,35
EQBDxPuGABxa_tUcTv35OGXt5k3bsjrmcnh4yc8g19h6pzYH,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb,P+Bw+aozxTGt/2N6o/oR3ScfmnU5sMa9RGn2rbqDygA=,10449775.0,5183.0,Bybit 1,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb_10449775.0,35
EQBV6D3iuP25Lte6bi8PPUuVwbo6pqSn42c-QwFbqDem9brR,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb,xKpchohDZj62tLc/eoObbSsn8dgC5q9NCAR4nC/DeMY=,10449775.0,7149.0,Bybit 1,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb_10449775.0,35
EQC_b_S4ePs8LdWTuGsyieoRl0bp6v9V7fRjTMJ76RD_IH1W,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb,DUELHB0xFXsaBS++mZNJEF/dgjXKB1JFQEEvo6C38o4=,10449775.0,6342.0,Bybit 1,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb_10449775.0,35
EQB8NSw_kALk5SFXvEOqZKZaSVclAIykyJkWkLpJg3mEWmrv,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb,6b5muubOi4b3k6KYNwppHOI91TU69y9U+bPWoSOazyU=,10449775.0,5082.0,Bybit 1,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb_10449775.0,35
EQAuEWm3-RY5fJ67_NaDMPTD9zumoyfEbxS_o3g6nhFHlcP7,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb,6ETKJNq9TSTlfFxhw7qfnLnrxNRVbHWJa10ISCoq0Ks=,10449775.0,5338.0,Bybit 1,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb_10449775.0,35
EQDgXNZcssTTaF6XctpBdNVeR2clbc611K-adF-G0tNZh2CA,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb,kLxERvO1PmL39V67rNbZZqIQRlDhYyKz++KAR7FeGzc=,10449775.0,5336.0,Bybit 1,EQDD8dqOzaj4zUK6ziJOo_G2lx6qf1TEktTRkFJ7T1c_fPQb_10449775.0,35
